 time            v(voutp)        v(voutn)       
 0.00000000e+00  1.23827606e+00  1.14170632e+00 
 2.00000000e-14  1.23827606e+00  1.14170632e+00 
 4.00000000e-14  1.23827606e+00  1.14170632e+00 
 8.00000000e-14  1.23827606e+00  1.14170632e+00 
 1.60000000e-13  1.23827606e+00  1.14170632e+00 
 3.20000000e-13  1.23827606e+00  1.14170632e+00 
 6.40000000e-13  1.23827606e+00  1.14170632e+00 
 1.28000000e-12  1.23827606e+00  1.14170632e+00 
 2.56000000e-12  1.23827606e+00  1.14170632e+00 
 4.56000000e-12  1.23827606e+00  1.14170632e+00 
 6.56000000e-12  1.23827606e+00  1.14170632e+00 
 8.56000000e-12  1.23827606e+00  1.14170632e+00 
 1.05600000e-11  1.23827606e+00  1.14170632e+00 
 1.25600000e-11  1.23827606e+00  1.14170632e+00 
 1.45600000e-11  1.23827606e+00  1.14170632e+00 
 1.65600000e-11  1.23827606e+00  1.14170632e+00 
 1.85600000e-11  1.23827606e+00  1.14170632e+00 
 2.05600000e-11  1.23827606e+00  1.14170632e+00 
 2.25600000e-11  1.23827606e+00  1.14170632e+00 
 2.45600000e-11  1.23827607e+00  1.14170632e+00 
 2.65600000e-11  1.23827608e+00  1.14170632e+00 
 2.85600000e-11  1.23827611e+00  1.14170632e+00 
 3.05600000e-11  1.23827614e+00  1.14170635e+00 
 3.25600000e-11  1.23827616e+00  1.14170647e+00 
 3.45600000e-11  1.23827611e+00  1.14170680e+00 
 3.65600000e-11  1.23827584e+00  1.14170759e+00 
 3.85600000e-11  1.23827502e+00  1.14170934e+00 
 4.05600000e-11  1.23827307e+00  1.14171289e+00 
 4.25600000e-11  1.23826892e+00  1.14171964e+00 
 4.45600000e-11  1.23826088e+00  1.14173176e+00 
 4.65600000e-11  1.23824634e+00  1.14175243e+00 
 4.85600000e-11  1.23822158e+00  1.14178605e+00 
 5.05600000e-11  1.23818153e+00  1.14183840e+00 
 5.25600000e-11  1.23811965e+00  1.14191674e+00 
 5.45600000e-11  1.23802795e+00  1.14202965e+00 
 5.65600000e-11  1.23789721e+00  1.14218676e+00 
 5.85600000e-11  1.23771733e+00  1.14239827e+00 
 6.05600000e-11  1.23747797e+00  1.14267422e+00 
 6.25600000e-11  1.23716925e+00  1.14302379e+00 
 6.45600000e-11  1.23678259e+00  1.14345445e+00 
 6.65600000e-11  1.23631146e+00  1.14397129e+00 
 6.85600000e-11  1.23575196e+00  1.14457660e+00 
 7.05600000e-11  1.23510317e+00  1.14526964e+00 
 7.25600000e-11  1.23436711e+00  1.14604692e+00 
 7.45600000e-11  1.23354837e+00  1.14690263e+00 
 7.65600000e-11  1.23265342e+00  1.14782951e+00 
 7.85600000e-11  1.23168969e+00  1.14881975e+00 
 8.05600000e-11  1.23066467e+00  1.14986587e+00 
 8.25600000e-11  1.22958506e+00  1.15096150e+00 
 8.45600000e-11  1.22845614e+00  1.15210189e+00 
 8.65600000e-11  1.22728153e+00  1.15328399e+00 
 8.85600000e-11  1.22606323e+00  1.15450632e+00 
 9.05600000e-11  1.22480200e+00  1.15576853e+00 
 9.25600000e-11  1.22349788e+00  1.15707082e+00 
 9.45600000e-11  1.22215078e+00  1.15841337e+00 
 9.65600000e-11  1.22076100e+00  1.15979589e+00 
